0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6752,0.6832,0.6956,0.6604,0.662,0.684,0.6688,0.7056,0.7316,0.672,0.6736,0.6452,0.7012,0.7124,0.6816,0.6532,0.6516,0.646,0.714,0.6524,0.6696,0.6596,0.6104,0.6432,0.6528,0.6464,0.6512,0.704,0.7036,0.6856,0.65,0.6716,0.6444,0.6688,0.6296,0.5552,0.5948,0.5952,0.5124,0.486,0.6224,0.5296,0.196,0.5992,0.6244,0.328,0.5168,0.41,0.5984,0.6396
0.7132,0.7228,0.7372,0.6928,0.7012,0.7216,0.7088,0.7424,0.7632,0.7076,0.7064,0.6796,0.7392,0.7468,0.716,0.688,0.684,0.6824,0.742,0.6864,0.7052,0.6952,0.648,0.6756,0.6844,0.678,0.686,0.74,0.7404,0.7224,0.684,0.7072,0.6808,0.7044,0.6684,0.5848,0.6264,0.6292,0.542,0.5148,0.65,0.5632,0.2168,0.6384,0.6612,0.3584,0.548,0.4356,0.6336,0.6732
0.742,0.7596,0.7676,0.7228,0.7372,0.7556,0.738,0.776,0.8,0.7392,0.7408,0.7156,0.7752,0.78,0.744,0.716,0.7116,0.7164,0.7744,0.7148,0.736,0.7296,0.682,0.7092,0.7136,0.7052,0.7188,0.772,0.7728,0.7548,0.7196,0.7376,0.7156,0.734,0.6996,0.6116,0.6572,0.6596,0.5688,0.5432,0.6796,0.5896,0.2324,0.6704,0.6948,0.3912,0.5852,0.4636,0.666,0.7052
0.7712,0.7888,0.7988,0.7536,0.7664,0.78,0.7652,0.8016,0.826,0.7664,0.77,0.7452,0.8044,0.8124,0.7704,0.7448,0.7388,0.7432,0.8032,0.742,0.7664,0.758,0.7136,0.7308,0.7368,0.7336,0.7468,0.7972,0.7984,0.7812,0.7488,0.7692,0.7508,0.7608,0.7284,0.6372,0.6896,0.6896,0.5916,0.568,0.7088,0.6172,0.248,0.6968,0.7204,0.4216,0.6124,0.4888,0.6964,0.7292
0.8008,0.82,0.8252,0.7808,0.7916,0.804,0.7864,0.8228,0.8508,0.792,0.792,0.7744,0.8276,0.8332,0.7988,0.7672,0.7644,0.7752,0.824,0.7672,0.7904,0.7844,0.7412,0.758,0.762,0.758,0.7748,0.8264,0.8264,0.8084,0.772,0.8,0.7836,0.7852,0.7536,0.6616,0.7148,0.718,0.614,0.5988,0.7328,0.6416,0.2656,0.722,0.748,0.4512,0.638,0.5104,0.7292,0.7604
0.8236,0.8416,0.8436,0.8056,0.8188,0.8252,0.8088,0.8424,0.8736,0.8136,0.814,0.798,0.8472,0.8536,0.8224,0.7916,0.7864,0.8008,0.8464,0.788,0.8132,0.8104,0.7612,0.782,0.7856,0.78,0.7988,0.8468,0.8484,0.834,0.794,0.826,0.8096,0.8096,0.7752,0.688,0.7452,0.7496,0.6388,0.6216,0.7552,0.6644,0.2844,0.7476,0.7692,0.4812,0.6612,0.5356,0.7528,0.7824
0.8448,0.8556,0.8616,0.8232,0.8376,0.8452,0.8312,0.8612,0.8892,0.832,0.8352,0.818,0.8664,0.8732,0.8416,0.8156,0.8068,0.824,0.8672,0.808,0.8344,0.8376,0.7824,0.8036,0.8024,0.8032,0.8156,0.8668,0.8696,0.8576,0.8156,0.8468,0.8352,0.8292,0.7972,0.7052,0.766,0.7728,0.6596,0.6468,0.7716,0.6884,0.3048,0.7696,0.792,0.508,0.6824,0.5576,0.7752,0.8
0.8632,0.8752,0.8756,0.842,0.8576,0.8616,0.852,0.8784,0.9064,0.8484,0.8556,0.834,0.8836,0.8836,0.858,0.8352,0.8292,0.8392,0.8828,0.8224,0.852,0.852,0.8032,0.8256,0.826,0.8204,0.8344,0.8828,0.8868,0.876,0.8392,0.8656,0.8572,0.8476,0.8164,0.724,0.7844,0.7948,0.6784,0.67,0.7912,0.7088,0.32,0.7888,0.8148,0.5364,0.7008,0.5732,0.796,0.8188
0.8784,0.89,0.8892,0.8612,0.8748,0.8764,0.8676,0.8924,0.922,0.8652,0.8748,0.8532,0.9004,0.8964,0.8736,0.854,0.8472,0.85,0.8952,0.8384,0.8656,0.8688,0.8216,0.8396,0.8432,0.8384,0.8496,0.896,0.9016,0.8916,0.8612,0.8792,0.8728,0.868,0.8376,0.7428,0.8,0.8096,0.6968,0.6896,0.8136,0.7276,0.3412,0.8072,0.8352,0.5596,0.7204,0.596,0.8152,0.8404
0.8956,0.9032,0.9032,0.8776,0.8888,0.8888,0.882,0.9076,0.9344,0.8796,0.8896,0.8664,0.9152,0.9112,0.8888,0.8684,0.8628,0.866,0.912,0.8576,0.8828,0.884,0.8356,0.8592,0.8596,0.8516,0.864,0.9108,0.912,0.9004,0.876,0.8956,0.888,0.884,0.8568,0.7608,0.8148,0.828,0.7132,0.7104,0.8308,0.7476,0.3568,0.8272,0.8496,0.5872,0.7416,0.6124,0.8308,0.8568
0.906,0.9148,0.9136,0.8928,0.9012,0.9012,0.8964,0.9172,0.946,0.8932,0.8992,0.8812,0.9292,0.9212,0.898,0.8792,0.8776,0.8808,0.9204,0.8704,0.8984,0.8968,0.8516,0.872,0.8708,0.864,0.878,0.9236,0.9208,0.912,0.8868,0.9072,0.8992,0.896,0.8704,0.7752,0.8352,0.8428,0.7296,0.726,0.846,0.7672,0.3712,0.8432,0.8652,0.6116,0.758,0.632,0.8436,0.8716
0.9164,0.9284,0.9228,0.9024,0.91,0.9124,0.9084,0.9288,0.9536,0.9024,0.9124,0.892,0.9372,0.932,0.912,0.8892,0.8908,0.8936,0.9288,0.8824,0.908,0.9064,0.8632,0.8836,0.888,0.8744,0.8904,0.9312,0.932,0.92,0.8988,0.9224,0.9116,0.9104,0.8812,0.7916,0.8508,0.854,0.7432,0.742,0.8552,0.7844,0.3876,0.8572,0.8772,0.6308,0.7708,0.6488,0.8592,0.8844
0.9264,0.9396,0.9336,0.9112,0.9192,0.92,0.9176,0.9392,0.9592,0.912,0.9192,0.9008,0.9452,0.9424,0.9236,0.9008,0.9044,0.9064,0.938,0.8924,0.9188,0.9144,0.8796,0.8944,0.9012,0.8852,0.9008,0.9412,0.9384,0.9312,0.9084,0.932,0.922,0.9224,0.8952,0.8068,0.8632,0.8628,0.7568,0.7588,0.8708,0.7984,0.4008,0.87,0.888,0.6516,0.7884,0.6656,0.8748,0.8952
0.9332,0.9452,0.9436,0.92,0.9296,0.928,0.926,0.946,0.966,0.922,0.9284,0.9104,0.9528,0.9484,0.9328,0.9068,0.9152,0.916,0.9424,0.9084,0.9256,0.9224,0.892,0.9056,0.9116,0.8972,0.908,0.9508,0.9456,0.9404,0.9168,0.9424,0.932,0.9336,0.9048,0.8212,0.8792,0.8724,0.7668,0.7724,0.884,0.8136,0.412,0.8824,0.8984,0.6704,0.8012,0.6844,0.8884,0.9056
0.9392,0.954,0.9504,0.9304,0.94,0.9388,0.934,0.9516,0.974,0.93,0.9396,0.9228,0.9592,0.9544,0.9444,0.9176,0.9232,0.9252,0.9472,0.9208,0.9336,0.9332,0.8996,0.9144,0.9208,0.9068,0.9164,0.9576,0.9536,0.9444,0.928,0.9492,0.9392,0.942,0.9132,0.8304,0.888,0.8796,0.7844,0.7836,0.8944,0.8224,0.428,0.894,0.9084,0.6892,0.8172,0.7028,0.9004,0.9132
0.9492,0.9628,0.9552,0.938,0.946,0.9464,0.942,0.9584,0.9776,0.9376,0.9468,0.9312,0.9616,0.96,0.9524,0.9268,0.9312,0.9368,0.9524,0.9288,0.9412,0.9388,0.9092,0.922,0.9264,0.9172,0.922,0.9632,0.96,0.9516,0.9356,0.9556,0.946,0.948,0.9216,0.844,0.8956,0.892,0.8008,0.7968,0.9052,0.8316,0.4432,0.9016,0.9176,0.7064,0.83,0.7184,0.9108,0.9236
0.9564,0.9692,0.9596,0.9452,0.95,0.9524,0.9472,0.9648,0.9816,0.9404,0.952,0.9376,0.9676,0.9664,0.9584,0.9324,0.9376,0.9436,0.9576,0.9352,0.948,0.9452,0.9196,0.93,0.9348,0.9252,0.9308,0.968,0.9656,0.958,0.942,0.9612,0.9528,0.952,0.93,0.8532,0.9048,0.8992,0.8144,0.8048,0.9116,0.8452,0.4548,0.91,0.9264,0.7268,0.8416,0.7348,0.9176,0.932
0.962,0.9736,0.9664,0.9512,0.9552,0.9568,0.954,0.9696,0.9844,0.9476,0.9544,0.9444,0.972,0.9728,0.9616,0.9376,0.9456,0.9508,0.9648,0.942,0.9512,0.9528,0.9264,0.9376,0.9432,0.932,0.9376,0.972,0.9704,0.9652,0.9468,0.9696,0.9564,0.9596,0.9364,0.8668,0.9148,0.9096,0.8288,0.8172,0.9192,0.8548,0.466,0.9148,0.9336,0.744,0.8528,0.7484,0.924,0.9376
0.966,0.978,0.9704,0.9564,0.9608,0.9628,0.9568,0.9744,0.9864,0.9524,0.9608,0.9492,0.976,0.9776,0.9668,0.9428,0.95,0.9564,0.968,0.9488,0.9588,0.9592,0.9316,0.9436,0.9492,0.938,0.9416,0.976,0.9728,0.9704,0.9544,0.9708,0.9632,0.9652,0.9416,0.8776,0.9236,0.918,0.84,0.8284,0.9256,0.8624,0.474,0.9224,0.9388,0.7604,0.8604,0.7632,0.9304,0.9432
0.9708,0.98,0.9732,0.9588,0.9648,0.9664,0.9612,0.976,0.9872,0.9588,0.964,0.9544,0.9772,0.982,0.9692,0.9492,0.9556,0.9624,0.9712,0.9516,0.9612,0.9632,0.9388,0.9492,0.9532,0.9488,0.9468,0.9784,0.9776,0.9736,0.9584,0.9748,0.9668,0.9704,0.9472,0.8872,0.9292,0.928,0.8496,0.8392,0.9308,0.8696,0.484,0.928,0.944,0.7768,0.8704,0.7772,0.938,0.9488
0.9736,0.9836,0.9744,0.9624,0.9708,0.9684,0.968,0.9784,0.9904,0.9632,0.9696,0.96,0.9804,0.9852,0.9752,0.9548,0.9584,0.9668,0.9728,0.9568,0.966,0.968,0.9444,0.9532,0.9584,0.9556,0.95,0.98,0.9804,0.9756,0.9616,0.9796,0.9708,0.9716,0.9512,0.8968,0.9368,0.934,0.8588,0.8496,0.9384,0.8776,0.4924,0.9356,0.9512,0.7908,0.8768,0.7892,0.944,0.9524
0.976,0.986,0.9756,0.9652,0.9728,0.9712,0.972,0.9808,0.992,0.966,0.9744,0.9624,0.9824,0.9856,0.9768,0.9588,0.9616,0.97,0.9772,0.9592,0.9716,0.972,0.9476,0.9588,0.9624,0.9576,0.9548,0.984,0.984,0.9772,0.9672,0.9816,0.9732,0.974,0.9552,0.902,0.9412,0.9412,0.8708,0.8572,0.9436,0.8856,0.4992,0.9412,0.9544,0.8008,0.8844,0.8008,0.9524,0.9592
0.978,0.9868,0.9788,0.9692,0.9756,0.9736,0.9752,0.9844,0.9928,0.9688,0.9776,0.9652,0.9848,0.9872,0.9816,0.962,0.9664,0.9736,0.9796,0.9624,0.9744,0.976,0.952,0.962,0.9676,0.9624,0.96,0.9852,0.9852,0.9792,0.9692,0.9828,0.9744,0.9776,0.9584,0.9084,0.9472,0.946,0.8828,0.87,0.9508,0.8948,0.5064,0.9456,0.9576,0.8144,0.8908,0.8116,0.9596,0.9636
0.9812,0.9876,0.982,0.9728,0.9776,0.976,0.9784,0.9864,0.994,0.9728,0.9804,0.968,0.9868,0.9884,0.984,0.9652,0.9696,0.9764,0.9816,0.9684,0.9764,0.9792,0.9576,0.9648,0.9736,0.9648,0.9636,0.9876,0.9884,0.982,0.97,0.9836,0.9764,0.98,0.9612,0.9152,0.95,0.9508,0.8904,0.8768,0.9544,0.9004,0.5164,0.9528,0.962,0.824,0.8984,0.8184,0.9624,0.9652
0.984,0.9884,0.9848,0.974,0.9808,0.9776,0.9804,0.9868,0.9948,0.9756,0.9816,0.9696,0.9884,0.9892,0.9856,0.9684,0.9716,0.978,0.9844,0.9716,0.9776,0.982,0.96,0.9664,0.9756,0.9684,0.9656,0.9884,0.9892,0.9832,0.9728,0.9844,0.9796,0.9824,0.9652,0.9208,0.9556,0.9532,0.8952,0.882,0.9588,0.9036,0.5232,0.9584,0.9644,0.8372,0.9048,0.826,0.9664,0.968
0.986,0.9904,0.9872,0.9756,0.9824,0.9792,0.9828,0.9876,0.9952,0.9776,0.9828,0.97,0.99,0.9912,0.9864,0.9708,0.9752,0.98,0.986,0.9744,0.9792,0.9844,0.9624,0.9684,0.978,0.9704,0.9676,0.9888,0.9908,0.986,0.9756,0.9848,0.9808,0.984,0.9684,0.9264,0.9608,0.956,0.9044,0.8892,0.9612,0.9092,0.532,0.9608,0.9664,0.8476,0.9128,0.8368,0.9688,0.9724
0.9868,0.9916,0.9884,0.978,0.9856,0.9812,0.9852,0.9888,0.996,0.9808,0.9848,0.9732,0.99,0.9916,0.9864,0.974,0.978,0.9812,0.988,0.9764,0.9804,0.9864,0.9648,0.9752,0.9796,0.9728,0.9708,0.9896,0.9924,0.988,0.9784,0.9868,0.982,0.9864,0.9712,0.9336,0.9624,0.958,0.9108,0.8944,0.9632,0.9136,0.5436,0.9644,0.97,0.8532,0.9184,0.842,0.9736,0.974
0.9888,0.9924,0.9912,0.9804,0.9876,0.982,0.9864,0.99,0.996,0.9844,0.9852,0.976,0.9908,0.9928,0.988,0.978,0.9808,0.9832,0.9892,0.978,0.9832,0.99,0.9672,0.9772,0.9808,0.976,0.9748,0.9904,0.9928,0.9892,0.9808,0.9904,0.9832,0.9876,0.9744,0.9376,0.9656,0.9596,0.916,0.902,0.964,0.9208,0.5528,0.9676,0.9732,0.8632,0.922,0.848,0.9764,0.9772
0.99,0.9928,0.9916,0.9804,0.9884,0.984,0.9892,0.992,0.9968,0.9864,0.9856,0.9776,0.992,0.9928,0.988,0.9804,0.9828,0.9852,0.9904,0.9784,0.9852,0.9904,0.9708,0.9792,0.9816,0.9784,0.9776,0.9908,0.994,0.9912,0.9828,0.992,0.9856,0.9888,0.978,0.9424,0.97,0.964,0.9204,0.9088,0.9672,0.924,0.56,0.9696,0.9752,0.8748,0.9268,0.8612,0.9788,0.9788
0.9916,0.9928,0.992,0.9812,0.9884,0.9856,0.99,0.9928,0.9968,0.988,0.988,0.9788,0.9928,0.9932,0.9888,0.982,0.9836,0.9868,0.9908,0.9808,0.9876,0.9912,0.9724,0.9816,0.9828,0.98,0.9792,0.9916,0.9948,0.9924,0.9848,0.994,0.9868,0.9896,0.9804,0.9472,0.972,0.9672,0.9268,0.9164,0.9716,0.9288,0.5656,0.9724,0.9784,0.88,0.9312,0.8664,0.98,0.9804
