,Optimal k
0,200
1,200
2,200
3,200
4,178
5,200
6,178
7,178
8,200
9,178
10,200
11,178
12,200
13,178
14,200
15,178
16,156
17,200
18,200
19,200
20,178
21,178
22,200
23,200
24,200
25,200
26,200
27,200
28,200
29,178
30,200
31,200
32,156
33,178
34,200
35,200
36,200
37,200
38,156
39,200
40,200
41,156
42,200
43,200
44,200
45,200
46,200
47,200
48,178
49,200
50,200
51,200
52,200
53,200
54,200
55,200
56,178
57,200
58,178
59,200
60,200
61,200
62,200
63,200
64,200
65,200
66,200
67,200
68,200
69,200
70,200
71,200
72,200
73,200
74,113
75,178
76,200
77,200
78,178
79,178
80,200
81,178
82,200
83,200
84,178
85,178
86,200
87,200
88,178
89,200
90,200
91,200
92,178
93,178
94,200
95,200
96,200
97,200
98,135
99,178
100,200
101,200
102,200
103,178
104,200
105,200
106,200
107,200
108,200
109,200
110,200
111,200
112,200
113,200
114,200
115,200
116,200
117,200
118,178
119,200
120,200
121,200
122,200
123,200
124,200
125,200
126,200
127,156
128,200
129,178
130,200
131,200
132,200
133,178
134,200
135,200
136,200
137,200
138,200
139,200
140,200
141,200
142,200
143,178
144,200
145,178
146,178
147,200
148,200
149,178
150,200
151,200
152,200
153,200
154,200
155,200
156,200
157,200
158,178
159,200
160,200
161,200
162,200
163,200
164,200
165,200
166,200
167,156
168,200
169,200
170,200
171,200
172,178
173,200
174,200
175,178
176,200
177,200
178,200
179,200
180,200
181,200
182,200
183,200
184,200
185,178
186,200
187,200
188,178
189,178
190,200
191,200
192,200
193,200
194,200
195,135
196,200
197,200
198,200
199,200
200,200
201,200
202,200
203,200
204,200
205,200
206,135
207,200
208,200
209,200
210,200
211,178
212,200
213,200
214,200
215,200
216,200
217,156
218,200
219,200
220,200
221,200
222,200
223,200
224,178
225,156
226,200
227,200
228,200
229,200
230,200
231,200
232,200
233,178
234,178
235,200
236,200
237,200
238,200
239,200
240,200
241,200
242,200
243,200
244,200
245,200
246,200
247,200
248,156
249,200
250,200
251,135
252,200
253,200
254,200
255,200
256,200
257,200
258,200
259,200
260,135
261,200
262,200
263,200
264,200
265,178
266,156
267,200
268,200
269,178
270,200
271,200
272,156
273,200
274,200
275,200
276,200
277,200
278,200
279,200
280,200
281,200
282,178
283,178
284,200
285,200
286,200
287,200
288,200
289,200
290,200
291,200
292,200
293,156
294,200
295,178
296,178
297,200
298,200
299,178
300,200
301,156
302,156
303,200
304,200
305,200
306,178
307,200
308,113
309,200
310,156
311,200
312,156
313,200
314,200
315,200
316,200
317,200
318,200
319,200
320,200
321,200
322,156
323,200
324,178
325,200
326,200
327,200
328,200
329,200
330,200
331,200
332,200
333,200
334,200
335,178
336,200
337,200
338,200
339,178
340,113
341,156
342,200
343,200
344,200
345,200
346,200
347,200
348,200
349,178
350,156
351,200
352,200
353,200
354,200
355,200
356,200
357,200
358,178
359,200
360,200
361,200
362,200
363,200
364,178
365,200
366,200
367,200
368,200
369,135
370,200
371,200
372,200
373,200
374,200
375,178
376,178
377,200
378,178
379,200
380,200
381,200
382,200
383,200
384,200
385,200
386,200
387,200
388,178
389,178
390,178
391,200
392,178
393,178
394,178
395,200
396,178
397,200
398,200
399,200
400,178
401,200
402,178
403,200
404,200
405,200
406,200
407,200
408,200
409,178
410,200
411,200
412,200
413,178
414,200
415,200
416,200
417,200
418,200
419,200
420,200
421,200
422,178
423,200
424,200
425,200
426,200
427,200
428,200
429,178
430,200
431,178
432,200
433,113
434,200
435,200
436,200
437,200
438,200
439,200
440,156
441,178
442,200
443,200
444,156
445,178
446,200
447,156
448,200
449,200
450,135
451,200
452,200
453,178
454,200
455,178
456,200
457,200
458,200
459,178
460,200
461,200
462,200
463,178
464,200
465,200
466,178
467,200
468,200
469,156
470,200
471,156
472,200
473,178
474,200
475,135
