,indicator,hockeyStick,quadratic,VaR_0.8,CVaR_0.8,VaR_0.9,CVaR_0.9,VaR_0.95,CVaR_0.95,VaR_0.99,CVaR_0.99,VaR_0.996,CVaR_0.996
0,0.1103,0.17087410650244805,62.38364462992409,3.8555256579619908,6.008524573301128,5.985975134400146,7.404922081881366,7.027975162150888,8.477317119124589,9.44685497551118,10.192577206532846,10.608124290582683,10.694772821227323
1,0.0806,0.14798673654836836,61.84332754199521,3.7051933772130923,5.807732057889766,5.283347786344478,7.141940645410171,6.679800865440587,8.236418525623051,9.377237825271273,9.679873287628388,9.783449615623798,9.84925880652752
2,0.1118,0.17230430548844514,61.73254422388873,3.6926280959853983,6.184026221601576,5.935294234829083,7.418658495664402,6.951548598625443,8.36111846887027,9.588649584581887,9.749818290266713,9.784350338578141,9.865200165395828
3,0.1097,0.15976044865387834,59.097221677623516,4.049355144887414,6.059772524140215,5.918874177159871,7.299439021767842,7.01144851764839,8.196476615467496,9.070501523620585,9.15815968436538,9.157455293349928,9.226013113207388
4,0.0958,0.1977731131103719,62.64827011954134,4.145479230991398,6.182062358745078,5.540259059350024,7.687611984028865,7.5676938930028825,8.812745537271715,9.448125217629936,9.675071972834575,9.760028534725345,9.803206512545918
5,0.1091,0.1709520337495545,59.826442536804684,4.088897620990554,6.154657774870926,5.882436153464525,7.414826403777688,6.796117370165476,8.534806443835267,9.624698805456436,10.061284116539852,10.199869815533608,10.272990629059118
6,0.1111,0.16531013548510645,63.639899038676,3.4924789241359733,6.142187618357844,5.882476977986492,7.357422851107619,6.8474234925262,8.279442737244583,9.141594750521921,9.593589164980532,9.650886727755411,9.744014617243334
7,0.1147,0.16294766786906179,61.954671398014355,3.5477812771576716,5.9804305188864575,5.894288341536335,7.33151103519238,7.202497244691244,8.192016868860977,8.899292034601633,9.758525168289083,9.920775812316913,10.065079086507636
8,0.0854,0.18434148599219127,60.00547348172659,3.4976218188135597,6.14975509127138,5.426214363406331,7.529960603731831,7.682575679174192,8.811591656084847,9.475440212771389,9.643687106801394,9.657635362734352,9.752289252058976
9,0.1326,0.18021331368512405,60.96931998123912,3.918092360670265,6.216548398476149,6.025679046152799,7.448771250550704,7.207813413555471,8.493856353312653,9.632973414027685,9.980849218529157,10.161584219209129,10.207957803784595
10,0.1134,0.20320548868665766,61.05809088577356,3.931350260551987,6.276706332086671,5.867246499471683,7.734688050015285,7.774399566101653,8.838702799155882,9.937948966626006,10.07570737552601,10.116827942494357,10.142107484341395
11,0.0989,0.15977091998476914,59.289334077887204,3.5423809710483454,5.976368667782159,5.569738413251482,7.306961359481421,6.847053476986954,8.191295407990301,8.841992647856747,9.256461982910597,9.438229369526862,9.585762946103099
12,0.0972,0.20019060334094835,60.699612968415686,3.9453667772700456,6.248292190465758,5.682799401297505,7.714853039930484,7.760479423709667,8.985211967582403,9.711609764100926,10.206377483092878,10.439429972144056,10.576515218821827
13,0.0893,0.1951940528381805,60.93063988653041,3.728928039277907,6.118798445255148,5.30943556341029,7.640690246361265,7.69583258757849,8.986481667833852,10.112236267215593,10.406574484212639,10.538961631684462,10.538961631684462
14,0.1024,0.2194540068671774,59.26111133121228,3.5396796203126932,6.293150644320807,5.961016248324853,7.89981994418831,7.670586664611948,9.026289826227837,10.142797528073338,10.549401892164596,10.642806065586393,10.695088329128524
15,0.1123,0.1546322224186391,64.01258485685938,3.980298054842045,6.169309591369686,5.8914515467719255,7.249475035612671,7.151821894157429,7.977283969243756,8.76600667489721,9.124016109904208,9.07398001486318,9.385462233930292
16,0.1179,0.16979362968990788,63.50866715671548,3.428510854546058,6.075537986659341,5.915606051054475,7.392128541461662,7.440882363269768,8.272299703531225,9.386980032807198,9.609762226889476,9.636745517388626,9.685582026218542
17,0.1094,0.15563799990862764,61.44877329504881,3.6151637168929156,6.116804745922452,5.784110298192246,7.26373748947666,7.043705307159367,8.26527921608879,9.440385089779568,10.110244121976347,10.371417305584684,10.506038576317598
18,0.0824,0.13498541397269428,61.234566083320196,3.6266406406937186,5.821809967811329,5.385502016071271,7.030846134947586,6.966918382792468,7.955250977936863,8.989833124911986,9.413044762767628,9.54412812802874,9.59056184603541
19,0.1186,0.20462219745251525,60.927661632988425,3.7356470101281722,6.236463504233749,6.019858763150207,7.72993375259194,7.39328156051101,8.792898517120022,10.00313781492125,10.502782276445009,10.546117298073893,10.806004975264168
20,0.0993,0.16030128223169596,60.20529178532071,3.563963680473293,5.944871041506118,5.707571264259798,7.316724039846699,6.91871876957077,8.325003695588592,9.129628277298403,9.5542588408232,9.72509069980433,9.776236816311126
21,0.093,0.15974712161577634,61.965666205647715,3.8286007427768745,6.127662367027456,5.610484155099819,7.306325378903895,7.1706367093416965,8.46844908227096,9.793726137626512,10.269313537760844,10.37627009189797,10.45096300214671
22,0.1107,0.1621540107738474,63.660416675199905,3.986211690779456,6.0664791257483675,5.884882025351612,7.321662816216061,6.542904189095712,8.520956428067763,9.06444996658846,10.062873664107666,10.363632587673713,10.416638437905608
