0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3804,0.3808,0.3812,0.3776,0.38,0.3812,0.3812,0.3804,0.3816,0.3828,0.3804,0.3796,0.382,0.38,0.38,0.3824,0.3816,0.3808,0.3796,0.3812,0.38,0.3816,0.382,0.38,0.3804,0.3804,0.3804,0.3824,0.3796,0.3824,0.3816,0.382,0.382,0.3808,0.3828,0.3824,0.3808,0.3816,0.3828,0.3812,0.382,0.38,0.3812,0.3824,0.3816,0.3808,0.3816,0.382,0.3804,0.382
0.4016,0.4008,0.4008,0.4016,0.4012,0.402,0.402,0.4028,0.402,0.4028,0.4016,0.4032,0.4008,0.4016,0.4028,0.4032,0.402,0.4028,0.4016,0.4024,0.4036,0.4012,0.4048,0.4036,0.3996,0.4036,0.4012,0.4008,0.4016,0.4028,0.4012,0.4016,0.4004,0.402,0.4028,0.4032,0.4044,0.4016,0.4016,0.4012,0.402,0.4024,0.404,0.4012,0.4012,0.402,0.402,0.4044,0.4008,0.4032
0.424,0.422,0.422,0.424,0.4236,0.4232,0.4232,0.422,0.4244,0.4212,0.422,0.4228,0.4236,0.4224,0.4228,0.4244,0.4236,0.4236,0.4236,0.422,0.4248,0.424,0.4236,0.424,0.4252,0.4244,0.4264,0.4228,0.4244,0.4244,0.422,0.4244,0.4232,0.4252,0.4232,0.4244,0.4224,0.4224,0.424,0.422,0.4224,0.4244,0.4256,0.4236,0.4236,0.4224,0.4244,0.4236,0.4248,0.4228
0.4452,0.4452,0.446,0.4464,0.4456,0.4448,0.4444,0.446,0.4456,0.4464,0.4452,0.4436,0.4472,0.4448,0.4468,0.4452,0.4444,0.446,0.4452,0.4464,0.4444,0.446,0.4468,0.4452,0.4448,0.4456,0.446,0.4456,0.4436,0.4476,0.444,0.4484,0.4464,0.4464,0.446,0.4452,0.4448,0.446,0.4472,0.4472,0.448,0.446,0.4448,0.4484,0.4464,0.4448,0.4468,0.4456,0.4456,0.4456
0.4684,0.4696,0.4708,0.47,0.47,0.4712,0.4716,0.4704,0.4676,0.4712,0.4692,0.4692,0.4708,0.4712,0.4724,0.4712,0.47,0.4708,0.4712,0.472,0.4708,0.47,0.4732,0.4692,0.4728,0.4716,0.4692,0.47,0.4692,0.4716,0.4684,0.4704,0.4716,0.472,0.4696,0.4708,0.4704,0.4716,0.4712,0.472,0.4704,0.472,0.4704,0.4696,0.4712,0.47,0.4704,0.4696,0.4716,0.4716
0.4932,0.4912,0.496,0.4928,0.4924,0.4944,0.4928,0.492,0.4964,0.4936,0.492,0.494,0.4916,0.4928,0.4928,0.4928,0.492,0.4932,0.4944,0.492,0.4932,0.4928,0.4948,0.4924,0.4932,0.494,0.4948,0.4932,0.494,0.4932,0.4924,0.4924,0.494,0.4928,0.4916,0.494,0.496,0.4956,0.4948,0.4932,0.4944,0.4936,0.4944,0.4948,0.4932,0.494,0.4928,0.4932,0.4924,0.4924
0.5112,0.5136,0.5144,0.5136,0.5124,0.5112,0.5112,0.5152,0.5124,0.5128,0.514,0.5124,0.5132,0.5128,0.5108,0.5136,0.5132,0.5128,0.5132,0.5108,0.5128,0.51,0.514,0.5148,0.5132,0.5132,0.514,0.5116,0.5132,0.5144,0.5128,0.5112,0.5116,0.5128,0.51,0.5112,0.5156,0.514,0.5116,0.5144,0.5132,0.512,0.5136,0.51,0.5152,0.5124,0.512,0.5124,0.5124,0.5112
0.532,0.5324,0.5308,0.5316,0.5308,0.5324,0.5328,0.5308,0.5316,0.5336,0.5308,0.5312,0.5312,0.5312,0.5332,0.5308,0.5328,0.532,0.5316,0.5304,0.532,0.53,0.5316,0.532,0.5336,0.5308,0.53,0.5304,0.5308,0.5316,0.5324,0.532,0.5308,0.5316,0.5284,0.5308,0.5324,0.5308,0.5312,0.532,0.5304,0.532,0.532,0.5312,0.5308,0.53,0.53,0.5324,0.5312,0.5304
0.552,0.5488,0.5516,0.55,0.55,0.55,0.5496,0.5508,0.5508,0.5484,0.5504,0.5496,0.5492,0.55,0.5512,0.5504,0.5508,0.5512,0.5504,0.5496,0.5492,0.5492,0.5512,0.5508,0.5504,0.5504,0.55,0.5508,0.5496,0.5504,0.55,0.5496,0.55,0.552,0.5472,0.55,0.5492,0.5504,0.55,0.5504,0.548,0.5496,0.5468,0.5488,0.5492,0.548,0.5504,0.5492,0.5476,0.5528
